name,age,job,salary
Kevin Sanders,24,Software Engineer,7300
Lisa Mills,26,High School Teacher,6100
Donna Allison,27,Dentist,12700
Michael Schmitt,43,Dentist,17500
Lisa Shaffer,31,Accountant,7400
Jeffrey Heath,25,Dentist,11600
Joanne Perez,52,Software Engineer,17200
Jeffrey Wilson,56,Dentist,20400
Maria Moreno,25,Software Engineer,10100
Frank Gutierrez,46,Accountant,12400
George Diaz,32,Software Engineer,10700
Susan Smith,64,Accountant,17300
Scott Smith,59,Dentist,21800
Justin Patel,37,Dentist,14700
Paul Marquez,32,High School Teacher,8700
Michael Bennett,32,Accountant,8200
Kenneth Curtis PhD,60,Software Engineer,19100
Connor Harris,39,High School Teacher,8800
Richard Villarreal,57,Software Engineer,19200
Michael Conner,32,Accountant,7700
Patricia Perkins,41,Dentist,15900
Erika Wheeler,63,High School Teacher,18500
Jared Gray,24,High School Teacher,6800
Aaron Kim MD,38,Dentist,14700
Michelle Hernandez,40,Accountant,12600
Peter Miller,40,Software Engineer,14600
Amber Craig,45,Dentist,17600
Tina Wood,62,Dentist,20700
Christopher Ramirez,37,Accountant,10200
Kent Ramirez,36,High School Teacher,9900
Sean Jones,42,Software Engineer,13200
Deanna Hubbard,58,High School Teacher,16500
Tina Townsend,45,Dentist,16100
Philip Costa,23,Accountant,6500
Kelly Williams,65,High School Teacher,17100
David Bowen,33,Dentist,13200
Justin Walton,31,Accountant,9900
Monica Owen,44,Accountant,12300
Adriana Stanley,38,Accountant,10500
Samantha Scott,42,High School Teacher,10900
Anthony Cole,61,Accountant,17900
Raymond Aguilar,35,Accountant,9600
Gerald Davis,58,Accountant,17000
Steve Jackson,49,Software Engineer,15800
Laura Potter,31,High School Teacher,7400
James Taylor,28,High School Teacher,6700
James Moreno,46,Dentist,18400
James Grant,63,High School Teacher,18500
Samuel Smith,63,High School Teacher,16000
Miguel Smith,45,Dentist,18100
Alex Taylor,59,Dentist,21000
Natasha Burch,60,Accountant,17100
Sheryl Butler,65,Software Engineer,21600
Tina Johnson,46,Dentist,16400
Elizabeth Gonzales,47,Dentist,17700
Jessica Mccall,33,Accountant,9200
Brittany Bray,49,High School Teacher,12300
Michael Flores,61,Accountant,16400
Dana White,38,Dentist,14000
